id,source,target
"481",847785,"d180412"
"482",904862,"d180412"
"483",5131206,"d180412"
"484",1051555,"d180412"
"485",5997820,"d180412"
"486",1224896,"d180412"
"487",2054538,"d180412"
"488",3008815,"d180412"
"489",3297639,"d180412"
"490",1269216,"d180412"
"491",4382379,"d180412"
"492",71603,"d180412"
"493",2976285,"d180412"
"494",1294410,"d180412"
"495",2536984,"d180412"
"496",4556678,"d180412"
"497",759811,"d180412"
"498",5248325,"d180412"
"499",699920,"d180412"
"500",6142316,"d180412"
"501",5759844,"d180412"
"502",237895,"d180412"
"503",1524619,"d180412"
"504",1132445,"d180412"
"505",1002049,"d180412"
"506",564958,"d180412"
"507",993568,"d180412"
"508",4970356,"d180412"
"509",1002233,"d180412"
"510",1034303,"d180412"
"511",671458,"d180412"
"512",893129,"d180412"
"513",439057,"d180412"
"514",5068892,"d180412"
"515",1664492,"d180412"
"516",6214406,"d180412"
"517",1304470,"d180412"
"518",1161417,"d180412"
"519",3955338,"d180412"
"520",5791212,"d180412"
"521",380421,"d180412"
"522",6161452,"d180412"
"523",126836,"d180412"
"524",5189747,"d180412"
"525",5945848,"d180412"
"526",3388739,"d180412"
"527",2873592,"d180412"
"528",858850,"d180412"
"529",4725296,"d180412"
"530",4156094,"d180412"
"531",5842289,"d180412"
"532",859884,"d180412"
"533",640867,"d180412"
"534",1792091,"d180412"
"535",35392,"d180412"
"536",4068098,"d180412"
"537",2996993,"d180412"
"538",4468386,"d180412"
"539",3716592,"d180412"
"540",2534835,"d180412"
"541",2344904,"d180412"
"542",4692804,"d180412"
"543",5413553,"d180412"
"544",3817705,"d180412"
"545",1206034,"d180412"
"546",1604347,"d180412"
"547",4400832,"d180412"
"548",1830917,"d180412"
"549",977631,"d180412"
"550",5302997,"d180412"
"551",2065950,"d180412"
"552",1754460,"d180412"
"553",273932,"d180412"
"554",31380,"d180412"
"555",4813691,"d180412"
"556",3131114,"d180412"
"557",4407717,"d180412"
"558",1843084,"d180412"
"559",1029587,"d180412"
"560",924449,"d180412"
"561",5453956,"d180412"
"562",3097541,"d180412"
"563",4486999,"d180412"
"564",1345403,"d180412"
"565",1222290,"d180412"
"566",1005420,"d180412"
"567",3455823,"d180412"
"568",1218626,"d180412"
"569",2107982,"d180412"
"570",862524,"d180412"
"571",2643651,"d180412"
"572",3107854,"d180412"
"573",688229,"d180412"
"574",1520042,"d180412"
"575",3262748,"d180412"
"576",496997,"d180412"
"577",1406121,"d180412"
"578",261750,"d180412"
"579",4571114,"d180412"
"580",2396459,"d180412"
"581",4810134,"d180412"
"582",3909658,"d180412"
"583",384063,"d180412"
"584",3710170,"d180412"
"585",2706462,"d180412"
"586",3732820,"d180412"
"587",448794,"d180412"
"588",962115,"d180412"
"589",4054602,"d180412"
"590",3237582,"d180412"
"591",471669,"d180412"
"592",2877579,"d180412"
"593",1809593,"d180412"
"594",598329,"d180412"
"595",2805243,"d180412"
"596",5700546,"d180412"
"597",843369,"d180412"
"598",5700644,"d180412"
"599",193923,"d180412"
"600",3171271,"d180412"
"601",3243425,"d180412"
"602",1698251,"d180412"
"603",1234006,"d180412"
"604",2216262,"d180412"
"605",3967783,"d180412"
"606",5541224,"d180412"
"607",2878250,"d180412"
"608",4353854,"d180412"
"609",5360099,"d180412"
"610",3420035,"d180412"
"611",4912693,"d180412"
"612",5039965,"d180412"
"613",5039319,"d180412"
"614",5335779,"d180412"
"615",3218456,"d180412"
"616",777538,"d180412"
"617",1839612,"d180412"
"618",2583061,"d180412"
"619",5312339,"d180412"
"620",318865,"d180412"
"621",73692,"d180412"
"622",490517,"d180412"
"623",1111989,"d180412"
"624",135513,"d180412"
"625",1032134,"d180412"
"626",1049897,"d180412"
"627",786250,"d180412"
"628",4615119,"d180412"
"629",2926903,"d180412"
"630",1111408,"d180412"
"631",2885126,"d180412"
"632",4344370,"d180412"
"633",2308951,"d180412"
"634",5276663,"d180412"
"635",3144104,"d180412"
"636",3378838,"d180412"
"637",2403613,"d180412"
"638",468639,"d180412"
"639",1912521,"d180412"
"640",4928926,"d180412"
"641",2343336,"d180412"
"642",5509933,"d180412"
"643",2900507,"d180412"
"644",1094847,"d180412"
"645",6151840,"d180412"
"646",1719702,"d180412"
"647",1199795,"d180412"
"648",4090521,"d180412"
"649",1413700,"d180412"
"650",4907531,"d180412"
"651",4107478,"d180412"
"652",2222172,"d180412"
"653",5792576,"d180412"
"654",2146533,"d180412"
"655",154498,"d180412"
"656",688946,"d180412"
"657",2841103,"d180412"
"658",1440394,"d180412"
"659",1080278,"d180412"
"660",5214859,"d180412"
"661",965681,"d180412"
"662",1276036,"d180412"
"663",677850,"d180412"
"664",73700,"d180412"
"665",6014347,"d180412"
"666",197267,"d180412"
"667",1266156,"d180412"
"668",1996319,"d180412"
"669",3404694,"d180412"
"670",947269,"d180412"
"671",3543704,"d180412"
"672",4462925,"d180412"
"673",238266,"d180412"
"674",6199335,"d180412"
"675",796809,"d180412"
"676",1118161,"d180412"
"677",1730807,"d180412"
"678",1331475,"d180412"
"679",3670286,"d180412"
"680",2439285,"d180412"
"681",3865176,"d180412"
"682",958946,"d180412"
"683",1266069,"d180412"
"684",5536997,"d180412"
"685",1304845,"d180412"
"686",851240,"d180412"
"687",1354327,"d180412"
"688",759054,"d180412"
"689",2464498,"d180412"
"690",906559,"d180412"
"691",2951974,"d180412"
"692",959840,"d180412"
"693",305213,"d180412"
"694",3030563,"d180412"
"695",1457218,"d180412"
"696",3172803,"d180412"
"697",2800063,"d180412"
"698",2208080,"d180412"
"699",4907750,"d180412"
"700",3642879,"d180412"
"701",1826977,"d180412"
"702",4490048,"d180412"
"703",1111418,"d180412"
"704",922906,"d180412"
"705",2306988,"d180412"
"706",4059129,"d180412"
"707",3763062,"d180412"
"708",4419860,"d180412"
"709",1864002,"d180412"
"710",6193969,"d180412"
"711",6152163,"d180412"
"712",2768724,"d180412"
"713",5484740,"d180412"
"714",4603846,"d180412"
"715",4478098,"d180412"
"716",4679251,"d180412"
"717",425639,"d180412"
"718",5249693,"d180412"
"719",2141535,"d180412"
"720",2072681,"d180412"
"721",469177,"d180412"
"722",3480503,"d180412"
"723",534637,"d180412"
"724",81291,"d180412"
"725",3041431,"d180412"
"726",1104197,"d180412"
"727",448908,"d180412"
"728",5216980,"d180412"
"729",1716072,"d180412"
"730",1726975,"d180412"
"731",3374176,"d180412"
"732",531195,"d180412"
"733",4344263,"d180412"
"734",5315935,"d180412"
"735",2738571,"d180412"
"736",3349421,"d180412"
"737",5916233,"d180412"
"738",564461,"d180412"
"739",5350866,"d180412"
"740",2131496,"d180412"
"741",3481102,"d180412"
"742",1368985,"d180412"
"743",330766,"d180412"
"744",516340,"d180412"
"745",1839552,"d180412"
"746",892949,"d180412"
"747",1070511,"d180412"
"748",4435013,"d180412"
"749",4141367,"d180412"
"750",2917116,"d180412"
"751",5062836,"d180412"
"752",6083021,"d180412"
"753",4565814,"d180412"
"754",3677434,"d180412"
"755",984985,"d180412"
"756",209673,"d180412"
"757",4725070,"d180412"
"758",692480,"d180412"
"759",1682223,"d180412"
"760",588996,"d180412"
"761",4117009,"d180412"
"762",1269238,"d180412"
"763",886886,"d180412"
"764",4401417,"d180412"
"765",3860362,"d180412"
"766",5792851,"d180412"
"767",1522719,"d180412"
"768",1727835,"d180412"
"769",342641,"d180412"
"770",881344,"d180412"
"771",901172,"d180412"
"772",1269116,"d180412"
"773",1106987,"d180412"
"774",5373405,"d180412"
"775",3082152,"d180412"
"776",2806795,"d180412"
"777",1406069,"d180412"
"778",2861921,"d180412"
"779",4354142,"d180412"
"780",1482060,"d180412"
"781",1383728,"d180412"
"782",1266221,"d180412"
"783",1402772,"d180412"
"784",3281769,"d180412"
"785",3841327,"d180412"
"786",630810,"d180412"
"787",1389682,"d180412"
"788",2830614,"d180412"
"789",472062,"d180412"
"790",4398772,"d180412"
"791",945564,"d180412"
"792",2662683,"d180412"
"793",700150,"d180412"
"794",3804922,"d180412"
"795",4467964,"d180412"
"796",1911214,"d180412"
"797",4468409,"d180412"
"798",264621,"d180412"
"799",1661060,"d180412"
"800",2268067,"d180412"
"801",5328463,"d180412"
"802",3970881,"d180412"
"803",1211274,"d180412"
"804",2779738,"d180412"
"805",1397748,"d180412"
"806",1851080,"d180412"
"807",1182345,"d180412"
"808",2730152,"d180412"
"809",481739,"d180412"
"810",1069572,"d180412"
"811",1111406,"d180412"
"812",759035,"d180412"
"813",759443,"d180412"
"814",343859,"d180412"
"815",327133,"d180412"
"816",702095,"d180412"
"817",1207407,"d180412"
"818",4921267,"d180412"
"819",1328996,"d180412"
"820",5398030,"d180412"
"821",40983,"d180412"
"822",2007682,"d180412"
"823",4400742,"d180412"
"824",4418115,"d180412"
"825",1165432,"d180412"
"826",2086583,"d180412"
"827",2781567,"d180412"
"828",2469678,"d180412"
"829",1068523,"d180412"
"830",3871145,"d180412"
"831",1942826,"d180412"
"832",2896610,"d180412"
"833",4468357,"d180412"
"834",1472974,"d180412"
"835",89776,"d180412"
"836",3393088,"d180412"
"837",3299783,"d180412"
"838",672728,"d180412"
"839",3475804,"d180412"
"840",2307557,"d180412"
"841",2402365,"d180412"
"842",522705,"d180412"
"843",1266363,"d180412"
"844",4114081,"d180412"
"845",4018686,"d180412"
"846",4924675,"d180412"
"847",4408175,"d180412"
"848",2775642,"d180412"
"849",163490,"d180412"
"850",2742376,"d180412"
"851",2698602,"d180412"
"852",1823712,"d180412"
"853",4688048,"d180412"
"854",4079030,"d180412"
"855",1205926,"d180412"
"856",1281798,"d180412"
"857",2758316,"d180412"
"858",4740403,"d180412"
"859",2019384,"d180412"
"860",2981721,"d180412"
"861",2429136,"d180412"
"862",1672204,"d180412"
"863",1499405,"d180412"
"864",3901295,"d180412"
"865",4063374,"d180412"
"866",288034,"d180412"
"867",1624014,"d180412"
"868",5858602,"d180412"
"869",3216746,"d180412"
"870",4238751,"d180412"
"871",1440256,"d180412"
"872",1003214,"d180412"
"873",987508,"d180412"
"874",1365897,"d180412"
"875",895091,"d180412"
