,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
712,18577914,Appartement typique barcelonais,128196672,Mr,Ciutat Vella,el Raval,41.3793551746,2.16936634449,Entire home/apt,85,3,5,2017-09-19,0.73,1,360,erased
724,20242524,Acogedora habitación doble. Centro de Barcelona.,144259310,Aroa,Ciutat Vella,el Raval,41.3810424625,2.16612094363,Private room,30,3,5,2017-10-04,1.61,2,343,erased
735,21942451,25 xl room. 20 meters to ramblas,160151769,Pau,Ciutat Vella,el Raval,41.3797109237,2.17263536012,Private room,26,3,0,,,4,85,erased
776,22074036,Central location!!,161246640,Luke,Ciutat Vella,el Raval,41.3796271618,2.16837774939,Private room,60,1,0,,,4,19,erased
777,820737,Great apartment in the heart of BCN,2524954,Annie,Ciutat Vella,el Raval,41.3820441728,2.16581443292,Entire home/apt,70,7,8,2017-10-20,0.24,1,356,erased
787,21558178,Private Oasis steps from Las Ramblas,29032786,Joel,Ciutat Vella,el Raval,41.3812929424,2.17316287147,Entire home/apt,60,7,0,,,1,40,erased
788,11662250,Artist's LOFT in the HEART OF BCN,9543898,Magda,Ciutat Vella,el Raval,41.3792173302,2.16431268823,Entire home/apt,110,4,2,2016-09-25,0.12,1,82,erased
801,21228689,Habitacion triple en la Rambla,153400350,Rogger,Ciutat Vella,el Raval,41.3798602529,2.17224252148,Private room,73,2,0,,,2,90,erased
816,17443343,Room near Ramblas Raval Barcelona.,101342929,Diego,Ciutat Vella,el Raval,41.3830679361,2.16836970721,Private room,20,2,1,2017-04-10,0.12,1,179,erased
819,18873770,Private Double Room,35203968,Absar & Anna,Ciutat Vella,el Raval,41.3811145434,2.17191751126,Private room,40,1,4,2017-11-24,0.63,1,73,erased
822,21877146,"Room in Raval, Barcelona",159587516,Alex,Ciutat Vella,el Raval,41.3803359531,2.17023081439,Private room,15,2,0,,,1,361,erased
829,18662505,Nice1 BR apartment next to Plaza Catalunya,7316491,German,Ciutat Vella,el Raval,41.3850901417,2.16778262881,Entire home/apt,295,3,0,,,27,329,erased
832,19842321,Entire apartment just two steps from RAMBLAS!!!,123558521,Alex,Ciutat Vella,el Raval,41.3776498062,2.17011650368,Entire home/apt,42,2,11,2017-11-28,2.56,1,73,erased
834,20412014,Surf the wave in Barcelona,145572380,Jordi,Ciutat Vella,el Raval,41.3798108484,2.17022248412,Entire home/apt,65,2,1,2017-08-30,0.29,1,1,erased
835,17745663,Sunny Bedroom & Balcony at the heart of Barcelona,114006699,Zoe,Ciutat Vella,el Raval,41.3808312353,2.16717581262,Private room,35,2,2,2017-05-15,0.28,1,22,erased
844,2322338,Bohemian Loft appartment,11392371,Dina,Ciutat Vella,el Raval,41.3786769632,2.16773104931,Entire home/apt,75,1,24,2017-11-25,0.71,3,4,erased
850,10461249,Habitación individual con ventana a patio de luz,47307159,Sol Carolina,Ciutat Vella,el Raval,41.3813915323,2.16640220946,Private room,20,2,7,2017-10-10,0.38,1,176,erased
853,9893820,"Central Apartment, Plaza Cataluna B",6071207,Sonario,Ciutat Vella,el Raval,41.3791608949,2.16541744746,Entire home/apt,19,1,60,2017-11-25,2.66,2,15,erased
858,18021310,Alojamiento en pleno centro de Barcelona,11407415,Alfio,Ciutat Vella,el Raval,41.3805753163,2.16993347755,Entire home/apt,80,2,26,2017-11-08,3.58,1,239,erased
861,7993449,Private room with bathroom and key!,20390075,Marisa,Ciutat Vella,el Raval,41.3781140037,2.1753553856,Private room,56,1,91,2017-10-31,3.31,7,359,erased
865,21492498,Bright double bedroom near Las Ramblas,96389405,Rebecca,Ciutat Vella,el Raval,41.3789906346,2.17103678274,Private room,35,2,3,2017-11-26,3.0,1,12,erased
874,21353240,Apartamento 2 hab barcelona centro,154563943,Carla,Ciutat Vella,el Raval,41.3793275411,2.16604359385,Entire home/apt,70,1,2,2017-11-06,1.54,1,301,erased
878,18279092,Las Ramblas - BCN Central - Double Room 3,124573040,Claudio,Ciutat Vella,el Raval,41.3757949066,2.17595199271,Private room,50,1,2,2017-06-03,0.28,3,31,erased
893,779907,VINTAGE SOFT LOFT STUDIO,2528474,Nugz,Ciutat Vella,el Raval,41.3824779407,2.16577420375,Entire home/apt,49,2,40,2017-11-19,0.65,1,196,erased
894,18146952,City Centre - 10 minutes to La Rambla,96780876,Kuthan,Ciutat Vella,el Raval,41.3813977109,2.16872880905,Private room,63,1,0,,,2,0,erased
903,22144844,Ícaro,46710774,Carolina,Ciutat Vella,el Raval,41.383250069,2.17008311287,Private room,45,3,0,,,1,53,erased
914,21945635,COZY APARTMENT IN THE CENTER OF BARCELONA!,140633240,Ekaterina,Ciutat Vella,el Raval,41.3782775627,2.16644863739,Entire home/apt,60,1,1,2017-12-06,1.0,1,266,erased
920,22075156,Double room in the center of Barcelona,39117631,Claudio,Ciutat Vella,el Raval,41.3762495751,2.17100687522,Private room,40,7,0,,,1,361,erased
925,21943027,20 meters to ramblas inside room,160151769,Pau,Ciutat Vella,el Raval,41.3794897109,2.17426189945,Private room,17,3,0,,,4,77,erased
940,18663868,Cute Ramblas studio,7316491,German,Ciutat Vella,el Raval,41.3846438692,2.16665847877,Entire home/apt,295,3,0,,,27,331,erased
945,9095219,COZY CENTRIC 2BD WITH LOVE,47420556,B-Mut,Ciutat Vella,el Raval,41.3784377789,2.16447382024,Entire home/apt,47,2,31,2017-10-02,1.22,1,323,erased
948,18663388,"Cozy flat (Plaza Catalunya, carrer de Pelai)",7316491,German,Ciutat Vella,el Raval,41.3848036107,2.1674539532,Entire home/apt,270,3,0,,,27,319,erased
